[2026-08-05 11:41:41] [INFO] Script started. Mode: Cleanup
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\LogProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\LogProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\MsiProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\MsiProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\OfflineSetupProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\OfflineSetupProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\OSProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\OSProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\ProvProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\ProvProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\ServicingCommon.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\ServicingCommon.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\SetupPlatformProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\SetupPlatformProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\SmiProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\SmiProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\SysprepProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\SysprepProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\TransmogProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\TransmogProvider.dll
